UoM_Wireless1,UoM_Wireless6,UoM_Wireless11,eduroam1,eduroam6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,janith7,id
-83.0,-66.0,-100.0,-100.0,-66.0,-100.0,-86.0,-72.0,-100.0,-100.0,1.0
-85.0,-64.0,-100.0,-100.0,-100.0,-100.0,-83.0,-70.0,-100.0,-100.0,1.0
-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,1.0
-80.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-81.0,-64.0,-100.0,-100.0,-64.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-83.0,-63.0,-100.0,-100.0,-62.0,-100.0,-100.0,-72.0,-100.0,-100.0,1.0
-81.0,-64.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-80.0,-62.0,-100.0,-100.0,-100.0,-100.0,-85.0,-74.0,-100.0,-100.0,1.0
-81.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-86.0,-63.0,-100.0,-100.0,-64.0,-100.0,-100.0,-73.0,-100.0,-100.0,1.0
-84.0,-63.0,-100.0,-84.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,1.0
-82.0,-64.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-64.0,-100.0,-100.0,-63.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
